## Europe Major
MON = "countries/Mongolia.txt"
## South Asia
NEP = "countries/Nepal.txt"
BHU = "countries/Bhutan.txt"
SIA = "countries/Siam.txt"
VIN = "countries/Vietnam.txt"
CAM = "countries/Cambodia.txt"
LAO = "countries/Laos.txt"
BAN = "countries/Bangladesh.txt"
BRM = "countries/Burma.txt"
PAK = "countries/Pakistan.txt"
## British Sphere
BAH = "countries/British Carribian.txt"
SAF = "countries/South Africa.txt"
RAJ = "countries/British Raj.txt"
EGY = "countries/Egypt.txt"
MAL = "countries/Malaysia.txt"
BUR = "countries/British_Burma.txt"
KEN = "countries/Kenya.txt"
## French Sphere
MAD = "countries/Madagascar.txt"
KIT = "countries/Italy_Napoleonic.txt"
FSP = "countries/French_Spain.txt"
NPL = "countries/Naples.txt"
FIC = "countries/indochina.txt"
## Japan Sphere
SRP = "countries/Second Republic of Philippines.txt"
INI = "countries/Independent Idonesia.txt"
INA = "countries/Indochina Union.txt"
MAN = "countries/Manchukou.txt"
## RK
RKO = "countries/Ostland_Puppet.txt"
RKM = "countries/Moskau_Puppet.txt"
RKA = "countries/Caucasian_Puppet.txt"
RUL = "countries/Ural_Puppet.txt"
RTK = "countries/Turkista_Puppet.txt"
RKN = "countries/North_Puppet.txt"
RIB = "countries/Iberian_Puppet.txt"
RKP = "countries/Poland_Puppet.txt"
RKU = "countries/Ukraine_Puppet.txt"
RKR = "countries/Russia_Puppet.txt"
RKC = "countries/Czech_Puppet.txt"
RKH = "countries/Hungary_Puppet.txt"
RKF = "countries/France_Puppet.txt"
RKI = "countries/Italy_Puppet.txt"
RKE = "countries/England_Puppet.txt"
## North American
USA = "countries/USA.txt"
QUE = "countries/Quebec.txt"
## Italy Sphere
AOI = "countries/Italian East Africa.txt"
